Genres,Audience Score,Director,Tomato-meter,Actors,Movie Title
"['Mystery & Suspense', 'Horror']",30,Tobe Hooper,25,"[' Neville Brand', ' Mel Ferrer', ' Stuart Whitman', ' Carolyn Jones', ' Marilyn Burns', ' William Finley']",Eaten Alive (1977)
"['Drama', 'Horror', 'Art House & International', 'Mystery & Suspense']",49,Christopher Smith,68,"[' Sean Bean', ' Eddie Redmayne', ' Carice van Houten', ' John Lynch', ' Tim McInnerny', ' Kimberley Nixon']",Black Death (2011)
"['Art House & International', 'Drama']",53,Dan Verete,100,"[' Sami Samir', ' Raida Adon', ' Motti Katz', ' Hagit Keler', ' Abed Zuabi', ' Tatjana Blacher']",Yellow Asphalt (2002)
"['Drama', 'Romance', 'Art House & International']",65,Gillian Armstrong,66,"[' Ralph Fiennes', ' Cate Blanchett', ' Ciar\xc3\xa1n Hinds', ' Tom Wilkinson', ' Richard Roxburgh', ' Clive Russell']",Oscar and Lucinda (1997)
['Comedy'],27,Brian DePalma,16,"[' Tom Hanks', ' Bruce Willis', ' Melanie Griffith', ' Kim Cattrall', ' Saul Rubinek', ' Morgan Freeman']",The Bonfire of the Vanities (1990)
['Documentary'],81,Luc Jacquet,94,"[' Morgan Freeman', ' Romane Bohringer', ' Charles Berling', ' Jules Sitruk', ' Ching-wen Chia', ' Hikari Ishida']",March of the Penguins (2005)
['Comedy'],63,Franco Amurri,38,"[' Kiefer Sutherland', ' Dennis Hopper', ' Carol Kane', ' Paul Dooley', ' Cliff De Young', ' Michael McKean']",Flashback (1990)
"['Drama', 'Comedy']",90,Spike Lee,93,"[' Spike Lee', ' Danny Aiello', ' Ossie Davis', ' Ruby Dee', ' Richard Edson', ' Giancarlo Esposito']",Do the Right Thing (1989)
['Comedy'],92,Scott S. Anderson,73,"[' K.C. Clyde', ' Kirby Heyborne', ' Kirby Heybourne', ' Cameron Hopkin', ' David Nibley', ' Scott Christopher']",The Best Two Years (2004)
"['Art House & International', 'Comedy']",66,Bruno Romy,69,"[' Dominique Abel', ' Bruno Romy', ' Fiona Gordon', ' Lucy Tulugarjuk', ' Ophelie Rousseau', ' Philippe Martz']",L'Iceberg (2005)
